commit,section,operation,samples,p50,p95,p99
263263f253a4733c50af4fd1b633837819156e48,Writable mount,protocol,100,4029,4234,5402
263263f253a4733c50af4fd1b633837819156e48,Writable mount,stat,100,1975,2900,3167
263263f253a4733c50af4fd1b633837819156e48,Writable mount,open+close,100,1960,2622,2913
263263f253a4733c50af4fd1b633837819156e48,Writable mount,readdir,100,2041,2778,3016
263263f253a4733c50af4fd1b633837819156e48,Writable mount,create_scratch,100,109,703,8347
263263f253a4733c50af4fd1b633837819156e48,Writable mount,seq_read,100,76,767,35536
263263f253a4733c50af4fd1b633837819156e48,Writable mount,create+close+unlink,100,4,713,997
263263f253a4733c50af4fd1b633837819156e48,Writable mount,mkdir+rmdir,100,12,815,2438
263263f253a4733c50af4fd1b633837819156e48,Writable mount,create+close+rename,100,3,728,924
263263f253a4733c50af4fd1b633837819156e48,Writable mount,write+flush,100,123,888,7957
263263f253a4733c50af4fd1b633837819156e48,Read-only mount,protocol,100,4127,5622,12866
263263f253a4733c50af4fd1b633837819156e48,Read-only mount,stat,100,1904,2583,2687
263263f253a4733c50af4fd1b633837819156e48,Read-only mount,open+close,100,1929,2600,2956
263263f253a4733c50af4fd1b633837819156e48,Read-only mount,readdir,100,1893,2754,3200
263263f253a4733c50af4fd1b633837819156e48,Read-only mount,seq_read,100,84,1057,31249
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Writable mount,protocol,100,4006,4060,4651
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Writable mount,stat,100,2155,2265,2413
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Writable mount,open+close,100,2142,2292,2734
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Writable mount,readdir,100,2142,2321,3070
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Writable mount,create_scratch,100,103,166,8279
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Writable mount,seq_read,100,78,290,29375
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Writable mount,create+close+unlink,100,8,69,90
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Writable mount,mkdir+rmdir,100,13,67,99
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Writable mount,create+close+rename,100,7,78,109
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Writable mount,write+flush,100,91,172,7110
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Read-only mount,protocol,100,3994,4051,4091
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Read-only mount,stat,100,2143,2334,2476
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Read-only mount,open+close,100,2146,2234,2405
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Read-only mount,readdir,100,2164,2305,2378
040ea50a04fe992eb07ead89507c0ece9ded5fd9,Read-only mount,seq_read,100,68,310,28956
