commit,step,label,p50,p95,p99
a23e489b54dc821804995274ecc8d12157158e26,3,uservm::memory_thread::data_rx::recv(),2,3,3
a23e489b54dc821804995274ecc8d12157158e26,4,uservm::lib::vm_input::vmexit(),114,117,118
a23e489b54dc821804995274ecc8d12157158e26,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
a23e489b54dc821804995274ecc8d12157158e26,6,uservm::lib::vm_output::send(),29,30,30
a23e489b54dc821804995274ecc8d12157158e26,7,uservm::io_thread::system_vm::write(),11,11,12
a23e489b54dc821804995274ecc8d12157158e26,8,linuxd::worker_thread::handle_write_request(),25,26,29
a23e489b54dc821804995274ecc8d12157158e26,9,nanvix-bench::read_exact(),23,26,27
a23e489b54dc821804995274ecc8d12157158e26,10,Total,400,404,406
2b44b595130a34981344c929285bba2095961ef3,0,nanvix-bench::write_all(),,,
2b44b595130a34981344c929285bba2095961ef3,1,linuxd::worker_thread::handle_read_request(),182,187,190
2b44b595130a34981344c929285bba2095961ef3,2,uservm::io_thread::system_vm::read(),13,14,15
2b44b595130a34981344c929285bba2095961ef3,3,uservm::memory_thread::data_rx::recv(),2,3,3
2b44b595130a34981344c929285bba2095961ef3,4,uservm::lib::vm_input::vmexit(),113,116,117
2b44b595130a34981344c929285bba2095961ef3,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
2b44b595130a34981344c929285bba2095961ef3,6,uservm::lib::vm_output::send(),29,29,30
2b44b595130a34981344c929285bba2095961ef3,7,uservm::io_thread::system_vm::write(),11,12,13
2b44b595130a34981344c929285bba2095961ef3,8,linuxd::worker_thread::handle_write_request(),25,28,29
2b44b595130a34981344c929285bba2095961ef3,9,nanvix-bench::read_exact(),24,29,31
2b44b595130a34981344c929285bba2095961ef3,10,Total,400,406,408
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,0,nanvix-bench::write_all(),,,
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,1,linuxd::worker_thread::handle_read_request(),182,186,188
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,2,uservm::io_thread::system_vm::read(),12,16,17
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,3,uservm::memory_thread::data_rx::recv(),2,6,7
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,4,uservm::lib::vm_input::vmexit(),114,117,118
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,6,uservm::lib::vm_output::send(),29,30,30
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,7,uservm::io_thread::system_vm::write(),11,12,13
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,8,linuxd::worker_thread::handle_write_request(),25,29,31
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,9,nanvix-bench::read_exact(),24,29,31
840107e59eae67a7e0421c4d0ab3742ff3e86ebb,10,Total,400,407,411
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,0,nanvix-bench::write_all(),,,
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,1,linuxd::worker_thread::handle_read_request(),181,185,191
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,2,uservm::io_thread::system_vm::read(),12,14,14
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,3,uservm::memory_thread::data_rx::recv(),2,3,3
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,4,uservm::lib::vm_input::vmexit(),114,117,118
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,5,uservm::lib::vm_input::vm_write_bytes(),0,1,1
58b5f45cccf6b1aacceb38a64fdf14cd9ad2ffb8,6,uservm::lib::vm_output::send(),29,30,30
